City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Tilichiki,RU,60.4667,166.1,23.79,95,100,6.78,light snow
312,Emerald,AU,-23.5333,148.1667,66.34,82,59,7.74,light rain
313,Cabedelo,BR,-6.9811,-34.8339,84.87,67,26,18.84,scattered clouds
314,Gizo,SB,-8.103,156.8419,82.35,73,100,8.21,overcast clouds
315,Tecoanapa,MX,16.5167,-98.75,81.64,79,100,2.66,light rain
316,Baft,IR,29.234,56.6057,65.84,19,1,6.02,clear sky
317,Kenai,US,60.5544,-151.2583,40.14,94,40,5.75,scattered clouds
318,Elko,US,41.0002,-115.5012,45.64,33,0,8.99,clear sky
319,Kamaishi,JP,39.2667,141.8833,60.51,85,84,8.57,broken clouds
320,Te Anau,NZ,-45.4167,167.7167,43.84,89,44,2.44,scattered clouds
321,Lebork,PL,54.5392,17.7501,63.91,73,80,9.73,broken clouds
322,Longyearbyen,SJ,78.2186,15.6401,26.44,68,75,11.5,broken clouds
323,Skibbereen,IE,51.55,-9.2667,57.11,95,100,4.85,light rain
324,Madingou,CG,-4.1536,13.55,85.08,61,100,3.49,light rain
325,Tarancon,ES,40.0085,-3.0073,77.38,24,100,12.26,overcast clouds
326,Malaryta,BY,51.7905,24.074,60.24,60,100,10.56,overcast clouds
327,Sorland,NO,67.667,12.6934,46.26,75,100,6.49,overcast clouds
328,Jalu,LY,29.0331,21.5482,79.88,34,1,11.39,clear sky
329,Deputatskiy,RU,69.3,139.9,11.19,93,100,4.47,overcast clouds
330,Clifton,US,40.8584,-74.1638,60.44,67,0,8.05,clear sky
331,Parvatipuram,IN,18.7833,83.4333,75.81,93,9,2.01,clear sky
332,Bargarh,IN,21.3333,83.6167,77.54,81,0,2.33,clear sky
333,Orlovskiy,RU,46.8714,42.0592,52.36,44,85,13.09,overcast clouds
334,Langham,CA,52.3668,-106.9679,31.84,45,100,4.61,overcast clouds
335,San Cristobal,VE,7.7669,-72.225,73.58,50,72,4.92,broken clouds
336,Umm Bab,QA,25.2142,50.8072,89.08,36,0,10.85,clear sky
337,Haines Junction,CA,60.7522,-137.5108,46.35,81,100,8.05,overcast clouds
338,Vancouver,CA,49.2497,-123.1193,63.55,62,0,2.3,clear sky
339,Buchanan,LR,5.8808,-10.0467,79.99,79,84,9.78,light rain
340,Ulaangom,MN,49.9811,92.0667,33.37,55,73,1.25,broken clouds
341,Ferme-Neuve,CA,46.7001,-75.4493,45.77,66,40,8.32,scattered clouds
342,Anqing,CN,30.5092,117.0506,65.43,51,0,8.79,clear sky
343,Broken Hill,AU,-31.95,141.4333,59.79,54,2,12.46,clear sky
344,Tasiilaq,GL,65.6145,-37.6368,23.11,62,39,3.04,scattered clouds
345,Arona,ES,28.0996,-16.681,73.92,72,20,14.97,few clouds
346,Florence,IT,43.7667,11.25,76.68,72,0,2.3,clear sky
