City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Codrington,AU,2022-10-14 22:31:24,-38.2667,141.9667,55.18,77,100,12.48
167,Natal,BR,2022-10-14 22:31:24,-5.795,-35.2094,77.65,78,20,13.8
168,Finschhafen,PG,2022-10-14 22:31:25,-6.6024,147.8681,84.27,67,83,2.51
169,Ahipara,NZ,2022-10-14 22:31:25,-35.1667,173.1667,60.75,65,44,8.7
170,Pietermaritzburg,ZA,2022-10-14 22:31:26,-29.6168,30.3928,62.69,92,100,2.71
171,Tiksi,RU,2022-10-14 22:31:26,71.6872,128.8694,13.41,92,99,8.57
172,Kalianget,ID,2022-10-14 22:31:27,-7.05,113.9333,81.7,75,87,6.87
173,Methven,NZ,2022-10-14 22:32:28,-43.6333,171.65,48.92,84,97,1.99
174,Mehamn,NO,2022-10-14 22:32:28,71.0357,27.8492,35.55,93,100,9.22
175,Chinhoyi,ZW,2022-10-14 22:32:29,-17.3667,30.2,70.09,32,3,6.24
176,Cabinda,AO,2022-10-14 22:32:29,-5.55,12.2,77.04,88,99,8.66
177,Mayo,US,2022-10-14 22:32:30,38.8876,-76.5119,66.15,64,0,6.91
178,Waddan,LY,2022-10-14 22:32:30,29.1614,16.139,70.52,68,46,12.15
179,Tuktoyaktuk,CA,2022-10-14 22:32:31,69.4541,-133.0374,26.6,68,75,19.57
180,Linhares,BR,2022-10-14 22:32:31,-19.3911,-40.0722,71.73,84,48,4.23
181,Wajima,JP,2022-10-14 22:32:32,37.4,136.9,67.06,77,95,6.76
182,Zhezkazgan,KZ,2022-10-14 22:32:32,47.8043,67.7144,50.5,50,81,5.32
183,Barra Do Corda,BR,2022-10-14 22:32:32,-5.5,-45.25,89.1,41,100,7.31
184,Calatayud,ES,2022-10-14 22:32:33,41.3535,-1.6432,63.88,54,2,3.31
185,Da Nang,VN,2022-10-14 22:28:11,16.0678,108.2208,80.58,78,100,9.22
186,Nyagan,RU,2022-10-14 22:32:33,62.1406,65.3936,38.35,90,99,4.38
187,Karpogory,RU,2022-10-14 22:32:34,64.0019,44.4451,41.32,94,100,4.54
188,Ballangen,NO,2022-10-14 22:32:35,68.3428,16.8315,44.82,49,20,9.22
189,Bud,US,2022-10-14 22:32:35,39.447,-86.1758,66.22,27,44,11.39
190,Port Macquarie,AU,2022-10-14 22:32:36,-31.4333,152.9167,68.9,51,0,7.74
191,Kaeo,NZ,2022-10-14 22:32:36,-35.1,173.7833,61.32,87,33,11.99
192,Maltahohe,NA,2022-10-14 22:32:37,-24.8333,16.9833,77.32,14,98,11.05
193,Mandalgovi,MN,2022-10-14 22:32:37,45.7625,106.2708,28.62,55,85,12.01
194,Taitung,TW,2022-10-14 22:32:37,22.7583,121.1444,77.27,78,75,9.22
195,Buraydah,SA,2022-10-14 22:32:38,26.326,43.975,73.85,21,0,10.78
196,Carnarvon,AU,2022-10-14 22:32:38,-24.8667,113.6333,65.89,60,3,17.72
197,Anadyr,RU,2022-10-14 22:32:39,64.75,177.4833,28.9,86,0,2.24
198,Palmer,US,2022-10-14 22:32:39,42.1584,-72.3287,60.35,81,40,4.61
199,Mayskiy,RU,2022-10-14 22:32:40,47.6931,40.1025,36.81,63,1,9.08
200,Toamasina,MG,2022-10-14 22:32:40,-18.1667,49.3833,68.0,100,75,5.75
201,Hofn,IS,2022-10-14 22:32:41,64.2539,-15.2082,40.26,61,45,24.61
202,Faya,SA,2022-10-14 22:32:41,18.3851,42.4509,59.11,55,6,3.09
203,Santa Rosa,PH,2022-10-14 22:32:42,14.3122,121.1114,82.38,87,100,4.92
204,Samarai,PG,2022-10-14 22:32:42,-10.6167,150.6667,82.69,77,54,11.36
205,Pisco,PE,2022-10-14 22:32:42,-13.7,-76.2167,66.25,63,0,16.11
206,Beringovskiy,RU,2022-10-14 22:32:43,63.05,179.3167,31.15,66,95,2.01
207,Great Bend,US,2022-10-14 22:32:44,38.3645,-98.7648,84.33,16,0,17.27
208,Pangnirtung,CA,2022-10-14 22:32:44,66.1451,-65.7125,30.2,74,100,5.75
209,Novosheshminsk,RU,2022-10-14 22:32:44,55.0651,51.2338,40.77,95,100,10.2
210,Saskylakh,RU,2022-10-14 22:32:45,71.9167,114.0833,23.83,89,100,14.97
211,Hadishahr,AZ,2022-10-14 22:32:45,38.8431,45.6635,50.49,71,81,2.01
212,Flinders,AU,2022-10-14 22:32:46,-34.5833,150.8552,64.18,62,0,5.99
213,Gurupi,BR,2022-10-14 22:29:03,-11.7292,-49.0686,90.48,22,89,5.64
214,Lasa,IT,2022-10-14 22:32:46,46.6166,10.7002,56.28,94,96,2.24
